ZorgproductOmschrijving;Tarief
Ondersteunende en verlichtende zorg met meer dan 28 dagbehandelingen en/of verpleegdagen bij borstkanker;20814,98
Ondersteunende en verlichtende zorg met 6 tot maximaal 28 dagbehandelingen en/of verpleegdagen bij borstkanker;14736,09
Ondersteunende en verlichtende zorg met 1 of 2 polikliniekbezoeken/ consultaties op afstand bij borstkanker;305,82
Begeleiding bij de behandeling met medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij borstkanker;9144,14
Begeleiding bij de behandeling met medicijnen die de afweer versterken bij borstkanker;918,46
Behandeling met hormonen bij uitzaaiingen bij borstkanker;784,88
Behandeling met hormonen bij uitzaaiingen tijdens een ziekenhuisopname bij borstkanker;6455,26
Behandeling met hormonen bij niet-uitgezaaide tumoren bij borstkanker;355,97
Behandeling met hormonen bij niet-uitgezaaide tumoren tijdens een ziekenhuisopname bij borstkanker;4725,94
Operatief verwijderen van tumor(en) en lymfeklier(en) tijdens een ziekenhuisopname bij borstkanker;7938,9
Operatief verwijderen van tumor(en) en lymfeklier(en) bij Borstkanker;5336,22
Zeer uitgebreide operatie tijdens een ziekenhuisopname bij baarmoederhalskanker;20488,79
Zeer uitgebreide operatie bij baarmoederhalskanker;7673,06
Uitgebreide operatie tijdens een ziekenhuisopname bij baarmoederhalskanker;8991,78
Uitgebreide operatie bij baarmoederhalskanker;3062,88
Onderzoek tijdens een ziekenhuisopname bij baarmoederhalskanker;7048,71
Onderzoek bij Baarmoederhalskanker;2892,73
Operatie tijdens een ziekenhuisopname bij baarmoederhalskanker;4227,66
Operatie bij baarmoederhalskanker;1733,23
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij baarmoederhalskanker;4682,12
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij baarmoederhalskanker;1873,37
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij baarmoederhalskanker;5562,01
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij baarmoederhalskanker;1304,14
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij baarmoederhalskanker;5904,72
Toediening van medicijnen die de afweer versterken via een infuus of injectie bij baarmoederhalskanker;1726,62
Begeleiding bij de behandeling met medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij baarmoederhalskanker;8779,45
Begeleiding bij de behandeling met medicijnen die de afweer versterken bij baarmoederhalskanker;2496,22
Toediening van chemotherapie tijdens een ziekenhuisopname bij uitzaaiingen bij baarmoederhalskanker;4775,05
Toediening van chemotherapie bij uitzaaiingen bij baarmoederhalskanker;969,79
Begeleiding bij de behandeling met chemotherapie, tijdens een ziekenhuisopname bij baarmoederhalskanker;5313,62
Begeleiding bij de behandeling met chemotherapie bij uitzaaiingen bij baarmoederhalskanker;1133,22
Toediening van chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij baarmoederhalskanker;2960,37
Toediening van chemotherapie bij niet uitgezaaide tumoren bij baarmoederhalskanker;1101,96
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij baarmoederhalskanker;6101,14
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren bij baarmoederhalskanker;801,07
Ondersteunende en verlichtende zorg met maximaal 5 dagbehandelingen en/of verpleegdagen bij baarmoederhalskanker;2890,53
Ondersteunende en verlichtende zorg met 6 tot maximaal 28 dagbehandelingen en/of verpleegdagen bij baarmoederhalskanker;13202,14
Ondersteunende en verlichtende zorg met meer dan 28 dagbehandelingen en/of verpleegdagen bij baarmoederhalskanker;34254,47
Ondersteunende en verlichtende zorg met onderzoek(en) en/of behandeling(en) bij baarmoederhalskanker;2329,64
Ondersteunende en verlichtende zorg met 1 tot 2 dagbehandelingen of meer dan 2 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij baarmoederhalskanker;1028,24
Ondersteunende en verlichtende zorg met 1 of 2 polikliniekbezoeken/ consultaties op afstand bij baarmoederhalskanker;448,02
Ziekenhuisopname met maximaal 5 verpleegdagen bij baarmoederhalskanker;2623,83
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij baarmoederhalskanker;10344,81
Ziekenhuisopname met meer dan 28 verpleegdagen bij baarmoederhalskanker;27643,99
Onderzoek(en) en/of behandeling(en) bij baarmoederhalskanker;905,61
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij baarmoederhalskanker;458,97
1 of 2 polikliniekbezoeken/ consultaties op afstand bij baarmoederhalskanker;185,53
Zeer uitgebreide operatie tijdens een ziekenhuisopname bij baarmoederkanker;11893,21
Zeer uitgebreide operatie bij baarmoederkanker;9580,19
Uitgebreide operatie en diagnostiek tijdens een ziekenhuisopname bij baarmoederkanker;14362,95
Uitgebreide en diagnostiek operatie bij baarmoederkanker;5292,55
Onderzoek tijdens een ziekenhuisopname bij baarmoederkanker;7208,28
Onderzoek bij Baarmoederkanker;2342,68
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij baarmoederkanker;5390,99
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij baarmoederkanker;2167,78
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij baarmoederkanker;6279,48
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij baarmoederkanker;1665,08
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij baarmoederkanker;5029,77
Toediening van medicijnen die de afweer versterken via een infuus of injectie bij baarmoederkanker;1764,6
Begeleiding bij de behandeling met medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij baarmoederkanker;14553,34
Begeleiding bij de behandeling met medicijnen die de afweer versterken bij baarmoederkanker;1346,73
Toediening van chemotherapie tijdens een ziekenhuisopname bij uitzaaiingen bij baarmoederkanker;4468,01
Toediening van chemotherapie bij uitzaaiingen bij baarmoederkanker;1180,23
Begeleiding bij de behandeling met chemotherapie, tijdens een ziekenhuisopname bij baarmoederkanker;6129,21
Begeleiding bij de behandeling met chemotherapie bij uitzaaiingen bij baarmoederkanker;1105,11
Toediening van chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij baarmoederkanker;3361,12
Toediening van chemotherapie bij niet uitgezaaide tumoren bij baarmoederkanker;1087,68
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij baarmoederkanker;7452,03
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren bij baarmoederkanker;521,07
Ondersteunende en verlichtende zorg met maximaal 5 dagbehandelingen en/of verpleegdagen bij baarmoederkanker;3504,54
Ondersteunende en verlichtende zorg met 6 tot maximaal 28 dagbehandelingen en/of verpleegdagen bij baarmoederkanker;10002,3
Ondersteunende en verlichtende zorg met meer dan 28 dagbehandelingen en/of verpleegdagen bij baarmoederkanker;21318,15
Ondersteunende en verlichtende zorg met onderzoek(en) en/of behandeling(en) bij baarmoederkanker;1917,34
Ondersteunende en verlichtende zorg met 1 tot 2 dagbehandelingen of meer dan 2 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij baarmoederkanker;990,09
Ondersteunende en verlichtende zorg met 1 of 2 polikliniekbezoeken/ consultaties op afstand bij baarmoederkanker;408,35
Ziekenhuisopname met maximaal 5 verpleegdagen bij baarmoederkanker;2160,29
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij baarmoederkanker;7671,02
Ziekenhuisopname met meer dan 28 verpleegdagen bij baarmoederkanker;24642,33
Onderzoek(en) en/of behandeling(en) bij baarmoederkanker;896,27
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij baarmoederkanker;516,27
1 of 2 polikliniekbezoeken/ consultaties op afstand bij baarmoederkanker;161,76
Zeer uitgebreide operatie tijdens een ziekenhuisopname bij eierstok/eileiderkanker;17756,35
Zeer uitgebreide operatie bij eierstok/eileiderkanker;7666,37
Uitgebreide operatie en diagnostiek tijdens een ziekenhuisopname bij eierstok/eileiderkanker;10764,33
Uitgebreide en diagnostiek operatie bij eierstok/eileiderkanker;3636,89
Onderzoek tijdens een ziekenhuisopname bij eierstok/eileiderkanker;4351,9
Onderzoek bij eierstok/eileiderkanker;1179,3
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij eierstok/eileiderkanker;4743,87
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij eierstok/eileiderkanker;1377,45
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;6494,13
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij eierstok/eileiderkanker;1439,67
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;6645,08
Toediening van medicijnen die de afweer versterken via een infuus of injectie bij eierstok/eileiderkanker;1094,27
Begeleiding bij de behandeling met medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;8733,51
Begeleiding bij de behandeling met medicijnen die de afweer versterken bij eierstok/eileiderkanker;1700,33
Toediening van chemotherapie tijdens een ziekenhuisopname bij uitzaaiingen bij eierstok/eileiderkanker;4850,06
Toediening van chemotherapie bij uitzaaiingen bij eierstok/eileiderkanker;997,2
Begeleiding bij de behandeling met chemotherapie, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;8591,67
Begeleiding bij de behandeling met chemotherapie bij uitzaaiingen bij eierstok/eileiderkanker;1053,56
Toediening van chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;3353,68
Toediening van chemotherapie bij niet uitgezaaide tumoren bij eierstok/eileiderkanker;913,92
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;5869,95
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren bij eierstok/eileiderkanker;1138,78
Ondersteunende en verlichtende zorg met maximaal 5 dagbehandelingen en/of verpleegdagen bij eierstok/eileiderkanker;3780,59
Ondersteunende en verlichtende zorg met 6 tot maximaal 28 dagbehandelingen en/of verpleegdagen bij eierstok/eileiderkanker;8361,46
Ondersteunende en verlichtende zorg met meer dan 28 dagbehandelingen en/of verpleegdagen bij eierstok/eileiderkanker;22788,73
Ondersteunende en verlichtende zorg met onderzoek(en) en/of behandeling(en) bij eierstok/eileiderkanker;1266,17
Ondersteunende en verlichtende zorg met 1 tot 2 dagbehandelingen of meer dan 2 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij eierstok/eileiderkanker;952,26
Ondersteunende en verlichtende zorg met 1 of 2 polikliniekbezoeken/ consultaties op afstand bij eierstok/eileiderkanker;415,21
Ziekenhuisopname met maximaal 5 verpleegdagen bij eierstok/eileiderkanker;2070,92
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij eierstok/eileiderkanker;7603,62
Ziekenhuisopname met meer dan 28 verpleegdagen bij eierstok/eileiderkanker;28351,26
Onderzoek(en) en/of behandeling(en) bij eierstok/eileiderkanker;944,73
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij eierstok/eileiderkanker;370,91
1 of 2 polikliniekbezoeken/ consultaties op afstand bij eierstok/eileiderkanker;207,71
Zeer uitgebreide operatie tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;18561,17
Zeer uitgebreide operatie bij kanker aan de vrouwelijke geslachtsorganen;7082,76
Uitgebreide operatie en diagnostiek tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;10177,59
Uitgebreide en diagnostiek operatie bij kanker aan de vrouwelijke geslachtsorganen;2258,27
Onderzoek tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;6184,53
Onderzoek bij kanker aan de vrouwelijke geslachtsorganen;2488,65
Operatie tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;3607,07
Operatie bij kanker aan de vrouwelijke geslachtsorganen;1744,82
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;5071,92
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij kanker aan de vrouwelijke geslachtsorganen;1861,29
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;6176,85
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij kanker aan de vrouwelijke geslachtsorganen;1283,36
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;4910,75
Toediening van medicijnen die de afweer versterken via een infuus of injectie bij kanker aan de vrouwelijke geslachtsorganen;1971,31
Begeleiding bij de behandeling met medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;6850,77
Begeleiding bij de behandeling met medicijnen die de afweer versterken bij kanker aan de vrouwelijke geslachtsorganen;2390,45
Toediening van chemotherapie tijdens een ziekenhuisopname bij uitzaaiingen bij kanker aan de vrouwelijke geslachtsorganen;5042,65
Toediening van chemotherapie bij uitzaaiingen bij kanker aan de vrouwelijke geslachtsorganen;2068,02
Begeleiding bij de behandeling met chemotherapie, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;6477,83
Begeleiding bij de behandeling met chemotherapie bij uitzaaiingen bij kanker aan de vrouwelijke geslachtsorganen;1866,55
Toediening van chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;3786,01
Toediening van chemotherapie bij niet uitgezaaide tumoren bij kanker aan de vrouwelijke geslachtsorganen;1283,29
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;5632,57
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren bij kanker aan de vrouwelijke geslachtsorganen;1794,88
Ondersteunende en verlichtende zorg met maximaal 5 dagbehandelingen en/of verpleegdagen bij kanker aan de vrouwelijke geslachtsorganen;3508,1
Ondersteunende en verlichtende zorg met 6 tot maximaal 28 dagbehandelingen en/of verpleegdagen bij kanker aan de vrouwelijke geslachtsorganen;9555,3
Ondersteunende en verlichtende zorg met meer dan 28 dagbehandelingen en/of verpleegdagen bij kanker aan de vrouwelijke geslachtsorganen;21008,95
Ondersteunende en verlichtende zorg met onderzoek(en) en/of behandeling(en) bij kanker aan de vrouwelijke geslachtsorganen;1858,97
Ondersteunende en verlichtende zorg met 1 tot 2 dagbehandelingen of meer dan 2 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij kanker aan de vrouwelijke geslachtsorganen;975,57
Ondersteunende en verlichtende zorg met 1 of 2 polikliniekbezoeken/ consultaties op afstand bij kanker aan de vrouwelijke geslachtsorganen;490,77
Ziekenhuisopname met maximaal 5 verpleegdagen bij kanker aan de vrouwelijke geslachtsorganen;2792,77
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij kanker aan de vrouwelijke geslachtsorganen;6821,59
Ziekenhuisopname met meer dan 28 verpleegdagen bij kanker aan de vrouwelijke geslachtsorganen;25860,9
Onderzoek(en) en/of behandeling(en) bij kanker aan de vrouwelijke geslachtsorganen;702,79
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij kanker aan de vrouwelijke geslachtsorganen;512,84
1 of 2 polikliniekbezoeken/ consultaties op afstand bij kanker aan de vrouwelijke geslachtsorganen;175,38
Behandeling bij uitzaaiingen met hormonen, tijdens een ziekenhuisopname bij baarmoederhalskanker;4653,44
Behandeling met hormonen bij uitzaaiingen bij baarmoederhalskanker;812,51
Behandeling, tijdens een Ziekenhuisopname, met hormonen bij niet uitgezaaide tumoren bij baarmoederhalskanker;3491,92
Behandeling met hormonen bij niet uitgezaaide tumoren bij baarmoederhalskanker;1425,87
Behandeling bij uitzaaiingen met hormonen, tijdens een ziekenhuisopname bij baarmoederkanker;7727,94
Behandeling met hormonen bij uitzaaiingen bij baarmoederkanker;415,14
Behandeling, tijdens een Ziekenhuisopname, met hormonen bij niet uitgezaaide tumoren bij baarmoederkanker;3561,71
Behandeling met hormonen bij niet uitgezaaide tumoren bij baarmoederkanker;1421,8
Behandeling bij uitzaaiingen met hormonen, tijdens een ziekenhuisopname bij eierstok/eileiderkanker;6522,05
Behandeling met hormonen bij uitzaaiingen bij eierstok/eileiderkanker;938,78
Behandeling, tijdens een Ziekenhuisopname, met hormonen bij niet uitgezaaide tumoren bij eierstok/eileiderkanker;3530,57
Behandeling met hormonen bij niet uitgezaaide tumoren bij eierstok/eileiderkanker;752,49
Behandeling bij uitzaaiingen met hormonen, tijdens een ziekenhuisopname bij kanker aan de vrouwelijke geslachtsorganen;4633,83
Behandeling met hormonen bij uitzaaiingen bij kanker aan de vrouwelijke geslachtsorganen;1731,06
Behandeling, tijdens een ziekenhuisopname met hormonen bij niet uitgezaaide tumoren bij kanker aan de vrouwelijke geslachtsorganen;3497,48
Behandeling met hormonen bij niet uitgezaaide tumoren bij kanker aan de vrouwelijke geslachtsorganen;1894,5
Operatie aan de prostaat ter voorbereiding op interne bestraling bij prostaatkanker;4549,95
Operatie aan de penis bij kanker aan de mannelijke geslachtsorganen;2663,87
Operatie aan de penis tijdens een ziekenhuisopname bij kanker aan de mannelijke geslachtsorganen;8139,33
Ziekenhuisopname met maximaal 5 verpleegdagen bij goedaardig of kwaadaardig gezwel aan de mannelijke geslachtsorganen of kiemceltumor;3097,35
Uitgebreide operatie en/of uitgebreide lymfklieroperatie bij goedaardig of kwaadaardig gezwel aan de mannelijke geslachtsorganen of kiemceltumor;3641,43
Uitgebreide operatie en/of uitgebreide lymfklieroperatie tijdens een ziekenhuisopname bij goedaardig of kwaadaardig gezwel aan de mannelijke geslachtsorganen of kiemceltumor;5074,11
Injectie, hormonale therapie bij prostaatkanker;507,84
Ziekenhuisopname met maximaal 5 verpleegdagen bij prostaatkanker;1910,57
Uitgebreide operatie bij prostaatkanker;15513,25
Uitgebreide operatie met lymfeklieroperatie bij prostaatkanker;19868,33
Onderzoek(en) waarbij het lichaam ingegaan wordt bij goedaardig of kwaadaardig gezwel aan de mannelijke geslachtsorganen of kiemceltumor;690,3
Ziekenhuisopname met meer dan 28 verpleegdagen bij goedaardig of kwaadaardig gezwel aan de mannelijke geslachtsorganen of kiemceltumor;23770,41
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij goedaardig of kwaadaardig gezwel aan de mannelijke geslachtsorganen of kiemceltumor;7029,21
Toediening van medicijnen die de afweer versterken via een infuus of injectie bij kanker aan de mannelijke geslachtsorganen of kiemceltumor;1357,41
Toediening van medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij kanker aan de mannelijke geslachtsorganen of kiemceltumor;5285,18
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij kanker aan de mannelijke geslachtsorganen of kiemceltumor;1158,48
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij kanker aan de mannelijke geslachtsorganen of kiemceltumor;5466,38
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij kanker aan de mannelijke geslachtsorganen of kiemceltumor;1419,93
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij kanker aan de mannelijke geslachtsorganen of kiemceltumor;4884,8
Uitgebreide diagnostiek bij prostaatkanker;1145,72
Ziekenhuisopname met meer dan 28 verpleegdagen bij prostaatkanker;22584
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij prostaatkanker;8392,47
Toediening van medicijnen die de afweer versterken of een radioactief medicijn via een infuus of injectie bij prostaatkanker;1797,35
Toediening van medicijnen die de afweer versterken of een radioactief medicijn via een infuus of injectie, tijdens een ziekenhuisopname bij prostaatkanker;5003,22
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij prostaatkanker;1976,86
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij prostaatkanker;8612,54
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij prostaatkanker;1297,74
